"ReplicateID","# tracers added (true)","# spores in the sample (true)","# counts","# spores counted","# tracers counted"
2,17100,53,25,0,25
3,17100,53,25,0,25
4,17100,53,25,0,25
5,17100,53,25,0,25
1,17100,109,25,0,25
2,17100,109,25,2,23
3,17100,109,25,0,25
4,17100,109,25,0,25
5,17100,109,25,0,25
1,17100,224,25,0,25
2,17100,224,25,0,25
3,17100,224,25,3,22
4,17100,224,25,0,25
5,17100,224,25,0,25
1,17100,461,25,1,24
2,17100,461,25,0,25
3,17100,461,25,1,24
4,17100,461,25,0,25
5,17100,461,25,0,25
1,17100,950,25,2,23
2,17100,950,25,1,24
3,17100,950,25,3,22
4,17100,950,25,0,25
5,17100,950,25,2,23
1,17100,1957,25,3,22
2,17100,1957,25,2,23
3,17100,1957,25,2,23
4,17100,1957,25,2,23
5,17100,1957,25,1,24
1,17100,4031,25,3,22
2,17100,4031,25,5,20
3,17100,4031,25,5,20
4,17100,4031,25,6,19
5,17100,4031,25,8,17
1,17100,8303,25,5,20
2,17100,8303,25,8,17
3,17100,8303,25,9,16
4,17100,8303,25,7,18
5,17100,8303,25,6,19
1,17100,17100,25,14,11
2,17100,17100,25,12,13
3,17100,17100,25,7,18
4,17100,17100,25,11,14
5,17100,17100,25,12,13
1,20448,31,25,0,25
2,20448,31,25,0,25
3,20448,31,25,1,24
4,20448,31,25,0,25
5,20448,31,25,0,25
1,20448,63,25,0,25
2,20448,63,25,2,23
3,20448,63,25,0,25
4,20448,63,25,0,25
5,20448,63,25,0,25
1,20448,130,25,1,24
2,20448,130,25,1,24
3,20448,130,25,1,24
4,20448,130,25,0,25
5,20448,130,25,0,25
1,20448,268,25,0,25
2,20448,268,25,1,24
3,20448,268,25,0,25
4,20448,268,25,1,24
5,20448,268,25,0,25
1,20448,552,25,3,22
2,20448,552,25,0,25
3,20448,552,25,0,25
4,20448,552,25,0,25
5,20448,552,25,1,24
1,20448,1137,25,2,23
2,20448,1137,25,3,22
3,20448,1137,25,0,25
4,20448,1137,25,0,25
5,20448,1137,25,1,24
1,20448,2341,25,3,22
2,20448,2341,25,3,22
3,20448,2341,25,3,22
4,20448,2341,25,5,20
5,20448,2341,25,1,24
1,20448,4821,25,8,17
2,20448,4821,25,1,24
3,20448,4821,25,2,23
4,20448,4821,25,2,23
5,20448,4821,25,7,18
1,20448,9928,25,8,17
2,20448,9928,25,6,19
3,20448,9928,25,9,16
4,20448,9928,25,10,15
5,20448,9928,25,8,17
1,20448,20448,25,11,14
2,20448,20448,25,13,12
3,20448,20448,25,15,10
4,20448,20448,25,14,11
5,20448,20448,25,16,9
1,24452,37,25,0,25
2,24452,37,25,0,25
3,24452,37,25,0,25
4,24452,37,25,0,25
5,24452,37,25,0,25
1,24452,76,25,0,25
2,24452,76,25,0,25
3,24452,76,25,1,24
4,24452,76,25,0,25
5,24452,76,25,0,25
1,24452,156,25,0,25
2,24452,156,25,0,25
3,24452,156,25,1,24
4,24452,156,25,1,24
5,24452,156,25,0,25
1,24452,320,25,0,25
2,24452,320,25,2,23
3,24452,320,25,0,25
4,24452,320,25,0,25
5,24452,320,25,0,25
1,24452,660,25,1,24
2,24452,660,25,1,24
3,24452,660,25,0,25
4,24452,660,25,1,24
5,24452,660,25,2,23
1,24452,1359,25,0,25
2,24452,1359,25,0,25
3,24452,1359,25,2,23
4,24452,1359,25,7,18
5,24452,1359,25,1,24
1,24452,2799,25,3,22
2,24452,2799,25,2,23
3,24452,2799,25,2,23
4,24452,2799,25,3,22
5,24452,2799,25,4,21
1,24452,5765,25,5,20
2,24452,5765,25,6,19
3,24452,5765,25,3,22
4,24452,5765,25,5,20
5,24452,5765,25,5,20
1,24452,11873,25,5,20
2,24452,11873,25,8,17
3,24452,11873,25,9,16
4,24452,11873,25,9,16
5,24452,11873,25,4,21
1,24452,24452,25,10,15
2,24452,24452,25,16,9
3,24452,24452,25,17,8
4,24452,24452,25,14,11
5,24452,24452,25,10,15
1,29240,44,25,0,25
2,29240,44,25,0,25
3,29240,44,25,0,25
4,29240,44,25,0,25
5,29240,44,25,0,25
1,29240,90,25,0,25
2,29240,90,25,0,25
3,29240,90,25,0,25
4,29240,90,25,0,25
5,29240,90,25,0,25
1,29240,186,25,0,25
2,29240,186,25,0,25
3,29240,186,25,0,25
4,29240,186,25,0,25
5,29240,186,25,2,23
1,29240,383,25,1,24
2,29240,383,25,0,25
3,29240,383,25,1,24
4,29240,383,25,0,25
5,29240,383,25,0,25
1,29240,789,25,0,25
2,29240,789,25,1,24
3,29240,789,25,0,25
4,29240,789,25,1,24
5,29240,789,25,1,24
1,29240,1625,25,1,24
2,29240,1625,25,0,25
3,29240,1625,25,1,24
4,29240,1625,25,1,24
5,29240,1625,25,1,24
1,29240,3347,25,1,24
2,29240,3347,25,1,24
3,29240,3347,25,4,21
4,29240,3347,25,2,23
5,29240,3347,25,3,22
1,29240,6894,25,6,19
2,29240,6894,25,2,23
3,29240,6894,25,4,21
4,29240,6894,25,5,20
5,29240,6894,25,6,19
1,29240,14197,25,9,16
2,29240,14197,25,9,16
3,29240,14197,25,7,18
4,29240,14197,25,8,17
5,29240,14197,25,7,18
1,29240,29240,25,16,9
2,29240,29240,25,15,10
3,29240,29240,25,12,13
4,29240,29240,25,12,13
5,29240,29240,25,14,11
1,34966,52,25,0,25
2,34966,52,25,0,25
3,34966,52,25,0,25
4,34966,52,25,0,25
5,34966,52,25,0,25
1,34966,108,25,0,25
2,34966,108,25,0,25
3,34966,108,25,0,25
4,34966,108,25,0,25
5,34966,108,25,0,25
1,34966,222,25,0,25
2,34966,222,25,0,25
3,34966,222,25,0,25
4,34966,222,25,0,25
5,34966,222,25,0,25
1,34966,458,25,0,25
2,34966,458,25,1,24
3,34966,458,25,0,25
4,34966,458,25,0,25
5,34966,458,25,0,25
1,34966,944,25,0,25
2,34966,944,25,1,24
3,34966,944,25,1,24
4,34966,944,25,1,24
5,34966,944,25,0,25
1,34966,1943,25,0,25
2,34966,1943,25,0,25
3,34966,1943,25,0,25
4,34966,1943,25,5,20
5,34966,1943,25,2,23
1,34966,4003,25,3,22
2,34966,4003,25,1,24
3,34966,4003,25,2,23
4,34966,4003,25,2,23
5,34966,4003,25,1,24
1,34966,8243,25,5,20
2,34966,8243,25,5,20
3,34966,8243,25,5,20
4,34966,8243,25,4,21
5,34966,8243,25,7,18
1,34966,16978,25,9,16
2,34966,16978,25,4,21
3,34966,16978,25,8,17
4,34966,16978,25,12,13
5,34966,16978,25,10,15
1,34966,34966,25,14,11
2,34966,34966,25,11,14
3,34966,34966,25,12,13
4,34966,34966,25,13,12
5,34966,34966,25,13,12
1,41813,63,25,0,25
2,41813,63,25,0,25
3,41813,63,25,0,25
4,41813,63,25,0,25
5,41813,63,25,0,25
1,41813,129,25,0,25
2,41813,129,25,0,25
3,41813,129,25,0,25
4,41813,129,25,0,25
5,41813,129,25,0,25
1,41813,266,25,1,24
2,41813,266,25,0,25
3,41813,266,25,0,25
4,41813,266,25,0,25
5,41813,266,25,0,25
1,41813,548,25,0,25
2,41813,548,25,1,24
3,41813,548,25,0,25
4,41813,548,25,0,25
5,41813,548,25,1,24
1,41813,1128,25,2,23
2,41813,1128,25,2,23
3,41813,1128,25,0,25
4,41813,1128,25,1,24
5,41813,1128,25,0,25
1,41813,2324,25,4,21
2,41813,2324,25,4,21
3,41813,2324,25,2,23
4,41813,2324,25,1,24
5,41813,2324,25,0,25
1,41813,4786,25,4,21
2,41813,4786,25,0,25
3,41813,4786,25,6,19
4,41813,4786,25,5,20
5,41813,4786,25,3,22
1,41813,9858,25,7,18
2,41813,9858,25,4,21
3,41813,9858,25,6,19
4,41813,9858,25,4,21
5,41813,9858,25,3,22
1,41813,20302,25,5,20
2,41813,20302,25,4,21
3,41813,20302,25,10,15
4,41813,20302,25,9,16
5,41813,20302,25,10,15
1,41813,41813,25,12,13
2,41813,41813,25,12,13
3,41813,41813,25,16,9
4,41813,41813,25,11,14
5,41813,41813,25,16,9
1,50000,75,25,0,25
2,50000,75,25,0,25
3,50000,75,25,0,25
4,50000,75,25,0,25
5,50000,75,25,0,25
1,50000,154,25,0,25
2,50000,154,25,0,25
3,50000,154,25,1,24
4,50000,154,25,0,25
5,50000,154,25,0,25
1,50000,318,25,0,25
2,50000,318,25,1,24
3,50000,318,25,0,25
4,50000,318,25,0,25
5,50000,318,25,0,25
1,50000,655,25,0,25
2,50000,655,25,1,24
3,50000,655,25,0,25
4,50000,655,25,1,24
5,50000,655,25,0,25
1,50000,1349,25,3,22
2,50000,1349,25,1,24
3,50000,1349,25,2,23
4,50000,1349,25,0,25
5,50000,1349,25,0,25
1,50000,2779,25,1,24
2,50000,2779,25,0,25
3,50000,2779,25,1,24
4,50000,2779,25,0,25
5,50000,2779,25,1,24
1,50000,5724,25,3,22
2,50000,5724,25,4,21
3,50000,5724,25,6,19
4,50000,5724,25,1,24
5,50000,5724,25,4,21
1,50000,11788,25,2,23
2,50000,11788,25,5,20
3,50000,11788,25,5,20
4,50000,11788,25,5,20
5,50000,11788,25,4,21
1,50000,24277,25,11,14
2,50000,24277,25,7,18
3,50000,24277,25,6,19
4,50000,24277,25,14,11
5,50000,24277,25,8,17
1,50000,50000,25,14,11
2,50000,50000,25,13,12
3,50000,50000,25,10,15
4,50000,50000,25,16,9
5,50000,50000,25,14,11
1,10000,15,38,0,38
2,10000,15,38,0,38
3,10000,15,38,0,38
4,10000,15,38,0,38
5,10000,15,38,0,38
1,10000,31,38,0,38
2,10000,31,38,0,38
3,10000,31,38,0,38
4,10000,31,38,0,38
5,10000,31,38,0,38
1,10000,64,38,0,38
2,10000,64,38,0,38
3,10000,64,38,0,38
4,10000,64,38,0,38
5,10000,64,38,0,38
1,10000,131,38,0,38
2,10000,131,38,0,38
3,10000,131,38,1,37
4,10000,131,38,0,38
5,10000,131,38,0,38
1,10000,270,38,1,37
2,10000,270,38,1,37
3,10000,270,38,1,37
4,10000,270,38,0,38
5,10000,270,38,0,38
1,10000,556,38,2,36
2,10000,556,38,3,35
3,10000,556,38,1,37
4,10000,556,38,1,37
5,10000,556,38,0,38
1,10000,1145,38,4,34
2,10000,1145,38,6,32
3,10000,1145,38,1,37
4,10000,1145,38,3,35
5,10000,1145,38,1,37
1,10000,2358,38,7,31
2,10000,2358,38,5,33
3,10000,2358,38,6,32
4,10000,2358,38,5,33
5,10000,2358,38,6,32
1,10000,4855,38,14,24
2,10000,4855,38,17,21
3,10000,4855,38,17,21
4,10000,4855,38,18,20
5,10000,4855,38,12,26
1,10000,10000,38,17,21
2,10000,10000,38,21,17
3,10000,10000,38,20,18
4,10000,10000,38,19,19
5,10000,10000,38,15,23
1,11958,18,38,0,38
2,11958,18,38,0,38
3,11958,18,38,0,38
4,11958,18,38,0,38
5,11958,18,38,0,38
1,11958,37,38,0,38
2,11958,37,38,0,38
3,11958,37,38,0,38
4,11958,37,38,0,38
5,11958,37,38,0,38
1,11958,76,38,2,36
2,11958,76,38,0,38
3,11958,76,38,0,38
4,11958,76,38,1,37
5,11958,76,38,0,38
1,11958,157,38,0,38
2,11958,157,38,1,37
3,11958,157,38,0,38
4,11958,157,38,0,38
5,11958,157,38,1,37
1,11958,323,38,1,37
2,11958,323,38,1,37
3,11958,323,38,1,37
4,11958,323,38,1,37
5,11958,323,38,0,38
1,11958,665,38,2,36
2,11958,665,38,1,37
3,11958,665,38,3,35
4,11958,665,38,2,36
5,11958,665,38,2,36
1,11958,1369,38,3,35
2,11958,1369,38,4,34
3,11958,1369,38,6,32
4,11958,1369,38,2,36
5,11958,1369,38,7,31
1,11958,2819,38,4,34
2,11958,2819,38,8,30
3,11958,2819,38,7,31
4,11958,2819,38,8,30
5,11958,2819,38,4,34
1,11958,5806,38,12,26
2,11958,5806,38,15,23
3,11958,5806,38,16,22
4,11958,5806,38,17,21
5,11958,5806,38,7,31
1,11958,11958,38,21,17
2,11958,11958,38,20,18
3,11958,11958,38,22,16
4,11958,11958,38,19,19
5,11958,11958,38,15,23
1,14300,21,38,0,38
2,14300,21,38,0,38
3,14300,21,38,1,37
4,14300,21,38,0,38
5,14300,21,38,0,38
1,14300,44,38,0,38
2,14300,44,38,0,38
3,14300,44,38,0,38
4,14300,44,38,0,38
5,14300,44,38,0,38
1,14300,91,38,0,38
2,14300,91,38,1,37
3,14300,91,38,0,38
4,14300,91,38,0,38
5,14300,91,38,0,38
1,14300,187,38,1,37
2,14300,187,38,0,38
3,14300,187,38,1,37
4,14300,187,38,1,37
5,14300,187,38,0,38
1,14300,386,38,1,37
2,14300,386,38,1,37
3,14300,386,38,0,38
4,14300,386,38,0,38
5,14300,386,38,0,38
1,14300,795,38,1,37
2,14300,795,38,2,36
3,14300,795,38,2,36
4,14300,795,38,1,37
5,14300,795,38,4,34
1,14300,1637,38,6,32
2,14300,1637,38,2,36
3,14300,1637,38,1,37
4,14300,1637,38,3,35
5,14300,1637,38,0,38
1,14300,3371,38,7,31
2,14300,3371,38,10,28
3,14300,3371,38,7,31
4,14300,3371,38,5,33
5,14300,3371,38,8,30
1,14300,6943,38,14,24
2,14300,6943,38,16,22
3,14300,6943,38,6,32
4,14300,6943,38,17,21
5,14300,6943,38,12,26
1,14300,14300,38,22,16
2,14300,14300,38,16,22
3,14300,14300,38,19,19
4,14300,14300,38,19,19
5,14300,14300,38,21,17
1,17100,26,38,0,38
2,17100,26,38,0,38
3,17100,26,38,0,38
4,17100,26,38,0,38
5,17100,26,38,0,38
1,17100,53,38,0,38
2,17100,53,38,0,38
3,17100,53,38,0,38
4,17100,53,38,0,38
5,17100,53,38,2,36
1,17100,109,38,0,38
2,17100,109,38,0,38
3,17100,109,38,0,38
4,17100,109,38,1,37
5,17100,109,38,0,38
1,17100,224,38,2,36
2,17100,224,38,1,37
3,17100,224,38,0,38
4,17100,224,38,0,38
5,17100,224,38,0,38
1,17100,461,38,1,37
2,17100,461,38,1,37
3,17100,461,38,1,37
4,17100,461,38,2,36
5,17100,461,38,0,38
1,17100,950,38,3,35
2,17100,950,38,1,37
3,17100,950,38,2,36
4,17100,950,38,1,37
5,17100,950,38,4,34
1,17100,1957,38,8,30
2,17100,1957,38,1,37
3,17100,1957,38,6,32
4,17100,1957,38,2,36
5,17100,1957,38,4,34
1,17100,4031,38,3,35
2,17100,4031,38,12,26
3,17100,4031,38,11,27
4,17100,4031,38,13,25
5,17100,4031,38,10,28
1,17100,8303,38,13,25
2,17100,8303,38,14,24
3,17100,8303,38,15,23
4,17100,8303,38,8,30
5,17100,8303,38,12,26
1,17100,17100,38,26,12
2,17100,17100,38,24,14
3,17100,17100,38,11,27
4,17100,17100,38,21,17
5,17100,17100,38,13,25
1,20448,31,38,0,38
2,20448,31,38,0,38
3,20448,31,38,0,38
4,20448,31,38,0,38
5,20448,31,38,1,37
1,20448,63,38,0,38
2,20448,63,38,0,38
3,20448,63,38,0,38
4,20448,63,38,0,38
5,20448,63,38,0,38
1,20448,130,38,1,37
2,20448,130,38,1,37
3,20448,130,38,0,38
4,20448,130,38,0,38
5,20448,130,38,0,38
1,20448,268,38,0,38
2,20448,268,38,1,37
3,20448,268,38,0,38
4,20448,268,38,0,38
5,20448,268,38,1,37
1,20448,552,38,1,37
2,20448,552,38,0,38
3,20448,552,38,1,37
4,20448,552,38,2,36
5,20448,552,38,2,36
1,20448,1137,38,1,37
2,20448,1137,38,2,36
3,20448,1137,38,4,34
4,20448,1137,38,1,37
5,20448,1137,38,3,35
1,20448,2341,38,7,31
2,20448,2341,38,5,33
3,20448,2341,38,2,36
4,20448,2341,38,2,36
5,20448,2341,38,3,35
1,20448,4821,38,10,28
2,20448,4821,38,6,32
3,20448,4821,38,3,35
4,20448,4821,38,9,29
5,20448,4821,38,12,26
1,20448,9928,38,10,28
2,20448,9928,38,14,24
3,20448,9928,38,14,24
4,20448,9928,38,16,22
5,20448,9928,38,14,24
1,20448,20448,38,20,18
2,20448,20448,38,19,19
3,20448,20448,38,18,20
4,20448,20448,38,15,23
5,20448,20448,38,18,20
1,24452,37,38,1,37
2,24452,37,38,0,38
3,24452,37,38,0,38
4,24452,37,38,0,38
5,24452,37,38,0,38
1,24452,76,38,0,38
2,24452,76,38,0,38
3,24452,76,38,0,38
4,24452,76,38,1,37
5,24452,76,38,0,38
1,24452,156,38,0,38
2,24452,156,38,0,38
3,24452,156,38,0,38
4,24452,156,38,0,38
5,24452,156,38,1,37
1,24452,320,38,1,37
2,24452,320,38,0,38
3,24452,320,38,0,38
4,24452,320,38,0,38
5,24452,320,38,0,38
1,24452,660,38,1,37
2,24452,660,38,1,37
3,24452,660,38,1,37
4,24452,660,38,1,37
5,24452,660,38,0,38
1,24452,1359,38,5,33
2,24452,1359,38,2,36
3,24452,1359,38,1,37
4,24452,1359,38,2,36
5,24452,1359,38,3,35
1,24452,2799,38,3,35
2,24452,2799,38,5,33
3,24452,2799,38,4,34
4,24452,2799,38,5,33
5,24452,2799,38,1,37
1,24452,5765,38,7,31
2,24452,5765,38,8,30
3,24452,5765,38,7,31
4,24452,5765,38,6,32
5,24452,5765,38,10,28
1,24452,11873,38,14,24
2,24452,11873,38,14,24
3,24452,11873,38,12,26
4,24452,11873,38,11,27
5,24452,11873,38,12,26
1,24452,24452,38,20,18
2,24452,24452,38,16,22
3,24452,24452,38,23,15
4,24452,24452,38,23,15
5,24452,24452,38,17,21
1,29240,44,38,0,38
2,29240,44,38,1,37
3,29240,44,38,0,38
4,29240,44,38,0,38
5,29240,44,38,0,38
1,29240,90,38,0,38
2,29240,90,38,0,38
3,29240,90,38,0,38
4,29240,90,38,0,38
5,29240,90,38,0,38
1,29240,186,38,0,38
2,29240,186,38,0,38
3,29240,186,38,0,38
4,29240,186,38,0,38
5,29240,186,38,0,38
1,29240,383,38,0,38
2,29240,383,38,0,38
3,29240,383,38,0,38
4,29240,383,38,1,37
5,29240,383,38,0,38
1,29240,789,38,1,37
2,29240,789,38,1,37
3,29240,789,38,0,38
4,29240,789,38,0,38
5,29240,789,38,3,35
1,29240,1625,38,2,36
2,29240,1625,38,1,37
3,29240,1625,38,1,37
4,29240,1625,38,1,37
5,29240,1625,38,2,36
1,29240,3347,38,1,37
2,29240,3347,38,2,36
3,29240,3347,38,3,35
4,29240,3347,38,3,35
5,29240,3347,38,4,34
1,29240,6894,38,7,31
2,29240,6894,38,14,24
3,29240,6894,38,5,33
4,29240,6894,38,6,32
5,29240,6894,38,6,32
1,29240,14197,38,10,28
2,29240,14197,38,12,26
3,29240,14197,38,13,25
4,29240,14197,38,19,19
5,29240,14197,38,11,27
1,29240,29240,38,25,13
2,29240,29240,38,20,18
3,29240,29240,38,18,20
4,29240,29240,38,19,19
5,29240,29240,38,17,21
1,34966,52,38,0,38
2,34966,52,38,0,38
3,34966,52,38,0,38
4,34966,52,38,0,38
5,34966,52,38,1,37
1,34966,108,38,0,38
2,34966,108,38,0,38
3,34966,108,38,0,38
4,34966,108,38,0,38
5,34966,108,38,0,38
1,34966,222,38,0,38
2,34966,222,38,0,38
3,34966,222,38,0,38
4,34966,222,38,0,38
5,34966,222,38,0,38
1,34966,458,38,0,38
2,34966,458,38,0,38
3,34966,458,38,2,36
4,34966,458,38,0,38
5,34966,458,38,0,38
1,34966,944,38,1,37
2,34966,944,38,0,38
3,34966,944,38,2,36
4,34966,944,38,1,37
5,34966,944,38,0,38
1,34966,1943,38,1,37
2,34966,1943,38,3,35
3,34966,1943,38,3,35
4,34966,1943,38,1,37
5,34966,1943,38,3,35
1,34966,4003,38,4,34
2,34966,4003,38,4,34
3,34966,4003,38,4,34
4,34966,4003,38,4,34
5,34966,4003,38,5,33
1,34966,8243,38,7,31
2,34966,8243,38,11,27
3,34966,8243,38,5,33
4,34966,8243,38,3,35
5,34966,8243,38,4,34
1,34966,16978,38,14,24
2,34966,16978,38,13,25
3,34966,16978,38,15,23
4,34966,16978,38,12,26
5,34966,16978,38,17,21
1,34966,34966,38,22,16
2,34966,34966,38,24,14
3,34966,34966,38,23,15
4,34966,34966,38,22,16
5,34966,34966,38,19,19
1,41813,63,38,0,38
2,41813,63,38,0,38
3,41813,63,38,0,38
4,41813,63,38,0,38
5,41813,63,38,0,38
1,41813,129,38,0,38
2,41813,129,38,0,38
3,41813,129,38,0,38
4,41813,129,38,0,38
5,41813,129,38,0,38
1,41813,266,38,0,38
2,41813,266,38,1,37
3,41813,266,38,0,38
4,41813,266,38,0,38
5,41813,266,38,0,38
1,41813,548,38,0,38
2,41813,548,38,1,37
3,41813,548,38,0,38
4,41813,548,38,0,38
5,41813,548,38,0,38
1,41813,1128,38,1,37
2,41813,1128,38,0,38
3,41813,1128,38,1,37
4,41813,1128,38,2,36
5,41813,1128,38,0,38
1,41813,2324,38,1,37
2,41813,2324,38,2,36
3,41813,2324,38,0,38
4,41813,2324,38,1,37
5,41813,2324,38,1,37
1,41813,4786,38,0,38
2,41813,4786,38,4,34
3,41813,4786,38,5,33
4,41813,4786,38,4,34
5,41813,4786,38,4,34
1,41813,9858,38,4,34
2,41813,9858,38,5,33
3,41813,9858,38,4,34
4,41813,9858,38,9,29
5,41813,9858,38,6,32
1,41813,20302,38,10,28
2,41813,20302,38,12,26
3,41813,20302,38,13,25
4,41813,20302,38,11,27
5,41813,20302,38,13,25
1,41813,41813,38,17,21
2,41813,41813,38,16,22
3,41813,41813,38,17,21
4,41813,41813,38,22,16
5,41813,41813,38,18,20
1,50000,75,38,0,38
2,50000,75,38,0,38
3,50000,75,38,0,38
4,50000,75,38,0,38
5,50000,75,38,0,38
1,50000,154,38,0,38
2,50000,154,38,0,38
3,50000,154,38,0,38
4,50000,154,38,1,37
5,50000,154,38,0,38
1,50000,318,38,0,38
2,50000,318,38,0,38
3,50000,318,38,0,38
4,50000,318,38,0,38
5,50000,318,38,1,37
1,50000,655,38,1,37
2,50000,655,38,2,36
3,50000,655,38,2,36
4,50000,655,38,1,37
5,50000,655,38,0,38
1,50000,1349,38,1,37
2,50000,1349,38,0,38
3,50000,1349,38,3,35
4,50000,1349,38,1,37
5,50000,1349,38,1,37
1,50000,2779,38,1,37
2,50000,2779,38,3,35
3,50000,2779,38,0,38
4,50000,2779,38,2,36
5,50000,2779,38,3,35
1,50000,5724,38,6,32
2,50000,5724,38,7,31
3,50000,5724,38,2,36
4,50000,5724,38,1,37
5,50000,5724,38,3,35
1,50000,11788,38,8,30
2,50000,11788,38,8,30
3,50000,11788,38,12,26
4,50000,11788,38,11,27
5,50000,11788,38,8,30
1,50000,24277,38,11,27
2,50000,24277,38,13,25
3,50000,24277,38,15,23
4,50000,24277,38,8,30
5,50000,24277,38,11,27
1,50000,50000,38,14,24
2,50000,50000,38,22,16
3,50000,50000,38,18,20
4,50000,50000,38,14,24
5,50000,50000,38,22,16
1,10000,15,57,0,57
2,10000,15,57,0,57
3,10000,15,57,0,57
4,10000,15,57,0,57
5,10000,15,57,0,57
1,10000,31,57,0,57
2,10000,31,57,0,57
3,10000,31,57,0,57
4,10000,31,57,0,57
5,10000,31,57,0,57
1,10000,64,57,0,57
2,10000,64,57,0,57
3,10000,64,57,1,56
4,10000,64,57,0,57
5,10000,64,57,0,57
1,10000,131,57,1,56
2,10000,131,57,1,56
3,10000,131,57,2,55
4,10000,131,57,1,56
5,10000,131,57,1,56
1,10000,270,57,0,57
2,10000,270,57,0,57
3,10000,270,57,2,55
4,10000,270,57,1,56
5,10000,270,57,0,57
1,10000,556,57,4,53
2,10000,556,57,1,56
3,10000,556,57,4,53
4,10000,556,57,3,54
5,10000,556,57,4,53
1,10000,1145,57,5,52
2,10000,1145,57,9,48
