"# Object_Counted","# Non-tracers","# Tracers"
50,23,27
50,19,31
50,25,25
50,21,29
50,28,22
50,17,33
50,19,31
50,24,26
50,30,20
50,33,17
50,30,20
50,25,25
50,33,17
50,31,19
50,31,19
50,25,25
50,24,26
50,33,17
50,34,16
50,30,20
50,32,18
50,29,21
50,29,21
50,26,24
50,37,13
50,33,17
50,31,19
50,30,20
50,31,19
50,33,17
50,42,8
50,33,17
50,27,23
50,28,22
50,28,22
50,29,21
50,31,19
50,29,21
50,33,17
50,29,21
50,34,16
50,33,17
50,27,23
50,27,23
50,31,19
50,33,17
50,31,19
50,27,23
50,26,24
50,28,22
50,28,22
50,36,14
50,31,19
50,28,22
50,27,23
50,29,21
50,25,25
50,31,19
50,39,11
50,36,14
50,35,15
50,37,13
50,35,15
50,37,13
50,36,14
50,39,11
50,37,13
50,39,11
50,37,13
50,41,9
50,41,9
50,37,13
50,35,15
50,41,9
50,38,12
50,41,9
50,35,15
50,39,11
50,33,17
50,42,8
50,37,13
50,34,16
50,38,12
50,38,12
50,43,7
50,38,12
50,39,11
50,37,13
50,39,11
50,41,9
50,40,10
50,36,14
50,40,10
50,43,7
50,38,12
50,41,9
50,43,7
50,39,11
50,33,17
50,43,7
50,32,18
50,41,9
50,36,14
50,37,13
50,39,11
50,38,12
50,35,15
50,36,14
50,47,3
50,41,9
50,45,5
50,45,5
50,42,8
50,48,2
50,44,6
50,43,7
50,40,10
50,44,6
50,43,7
50,43,7
50,45,5
50,43,7
50,44,6
50,43,7
50,40,10
50,38,12
50,47,3
50,42,8
50,45,5
50,47,3
50,44,6
50,45,5
50,45,5
50,38,12
50,45,5
50,44,6
50,44,6
50,46,4
50,40,10
50,45,5
50,47,3
50,43,7
50,42,8
50,45,5
50,44,6
50,43,7
50,43,7
50,43,7
50,41,9
50,46,4
50,40,10
50,42,8
50,44,6
50,45,5
50,43,7
50,45,5
50,43,7
50,40,10
50,48,2
50,48,2
50,46,4
50,47,3
50,47,3
50,46,4
50,46,4
50,47,3
50,47,3
50,48,2
50,48,2
50,48,2
50,45,5
50,45,5
50,46,4
50,45,5
50,48,2
50,48,2
50,47,3
50,50,0
50,49,1
50,49,1
50,47,3
50,49,1
50,44,6
50,47,3
50,45,5
50,45,5
50,44,6
50,44,6
50,49,1
50,46,4
50,43,7
50,44,6
50,47,3
50,42,8
50,46,4
50,49,1
50,45,5
50,46,4
50,47,3
50,44,6
50,45,5
50,46,4
50,43,7
50,45,5
50,47,3
50,47,3
50,46,4
50,46,4
50,45,5
50,49,1
50,47,3
50,49,1
50,49,1
50,43,7
50,49,1
50,48,2
50,50,0
50,49,1
50,49,1
50,47,3
50,48,2
50,48,2
50,48,2
50,48,2
50,47,3
50,49,1
50,47,3
50,48,2
50,49,1
50,48,2
50,47,3
50,49,1
50,47,3
50,48,2
50,49,1
50,48,2
50,49,1
50,50,0
50,49,1
50,48,2
50,49,1
50,48,2
50,48,2
50,49,1
50,49,1
50,50,0
50,50,0
50,46,4
50,47,3
50,45,5
50,46,4
50,48,2
50,49,1
50,48,2
50,48,2
50,48,2
50,50,0
50,50,0
50,48,2
50,50,0
50,49,1
50,49,1
50,49,1
50,48,2
50,46,4
50,49,1
50,50,0
50,50,0
50,49,1
50,50,0
50,49,1
50,49,1
50,49,1
50,49,1
50,50,0
50,50,0
50,50,0
50,50,0
50,49,1
50,49,1
50,48,2
50,49,1
50,50,0
50,49,1
50,49,1
50,49,1
50,50,0
50,50,0
50,49,1
50,48,2
50,48,2
50,50,0
50,50,0
50,49,1
50,50,0
50,49,1
50,48,2
50,48,2
50,50,0
50,50,0
50,49,1
50,50,0
50,50,0
50,50,0
50,47,3
50,49,1
50,49,1
50,48,2
50,50,0
50,49,1
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,48,2
50,49,1
50,50,0
50,48,2
50,50,0
50,50,0
50,50,0
50,49,1
50,49,1
50,50,0
50,50,0
50,50,0
50,50,0
50,49,1
50,50,0
50,49,1
50,50,0
50,49,1
50,50,0
50,48,2
50,49,1
50,49,1
50,50,0
50,50,0
50,50,0
50,49,1
50,50,0
50,50,0
50,50,0
50,49,1
50,50,0
50,49,1
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,50,0
50,49,1
100,16,84
100,16,84
100,17,83
100,16,84
100,18,82
100,11,89
100,19,81
100,21,79
100,12,88
100,16,84
100,9,91
100,17,83
100,21,79
100,11,89
100,19,81
100,13,87
100,14,86
100,18,82
100,17,83
100,17,83
100,17,83
100,16,84
100,14,86
100,21,79
100,13,87
100,15,85
100,15,85
100,16,84
100,15,85
100,19,81
100,14,86
100,18,82
100,13,87
100,18,82
100,18,82
100,17,83
100,15,85
100,12,88
100,18,82
100,17,83
100,14,86
100,11,89
100,21,79
100,13,87
100,17,83
100,20,80
100,18,82
100,19,81
100,18,82
100,21,79
100,27,73
100,29,71
100,25,75
100,23,77
100,31,69
100,31,69
100,36,64
100,30,70
100,27,73
100,26,74
100,17,83
100,31,69
100,27,73
100,23,77
100,33,67
100,29,71
100,22,78
100,23,77
100,30,70
100,30,70
100,27,73
100,36,64
100,26,74
100,23,77
100,19,81
100,28,72
100,22,78
100,34,66
100,32,68
100,34,66
100,26,74
100,21,79
100,28,72
100,30,70
100,26,74
100,31,69
100,30,70
100,27,73
100,29,71
100,23,77
100,22,78
100,20,80
100,28,72
100,27,73
100,29,71
100,31,69
100,29,71
100,23,77
100,30,70
100,32,68
100,38,62
100,51,49
100,46,54
100,49,51
100,50,50
100,45,55
100,44,56
100,53,47
100,37,63
100,49,51
100,43,57
100,36,64
100,39,61
100,41,59
100,51,49
100,42,58
100,31,69
100,41,59
100,40,60
100,47,53
100,49,51
100,36,64
100,36,64
100,46,54
100,46,54
100,38,62
100,47,53
100,49,51
100,49,51
100,37,63
100,39,61
100,54,46
100,42,58
100,50,50
100,49,51
100,36,64
100,45,55
100,47,53
100,35,65
100,38,62
100,38,62
100,50,50
100,44,56
100,54,46
100,38,62
100,40,60
100,42,58
100,51,49
100,42,58
100,45,55
100,67,33
100,55,45
100,53,47
100,57,43
100,60,40
100,67,33
100,67,33
100,62,38
100,71,29
100,64,36
100,66,34
100,56,44
100,64,36
100,57,43
100,59,41
100,63,37
100,67,33
100,64,36
100,64,36
100,56,44
100,50,50
100,60,40
100,63,37
100,61,39
100,63,37
100,60,40
100,70,30
100,69,31
100,59,41
100,60,40
100,62,38
100,60,40
100,62,38
100,69,31
100,60,40
100,68,32
100,56,44
100,61,39
100,64,36
100,67,33
100,58,42
100,62,38
100,60,40
100,65,35
100,66,34
100,60,40
100,59,41
100,57,43
100,56,44
100,66,34
100,79,21
100,77,23
100,82,18
100,69,31
100,76,24
100,86,14
100,74,26
100,80,20
100,78,22
100,75,25
100,76,24
100,67,33
100,78,22
100,75,25
100,77,23
100,83,17
100,75,25
100,81,19
100,72,28
100,66,34
100,78,22
100,76,24
100,75,25
100,77,23
100,81,19
100,66,34
100,77,23
100,75,25
100,72,28
100,73,27
100,79,21
100,77,23
100,82,18
100,76,24
100,71,29
100,77,23
100,80,20
100,81,19
100,81,19
100,79,21
100,78,22
100,79,21
100,81,19
100,80,20
100,80,20
100,72,28
100,75,25
100,70,30
100,81,19
100,77,23
100,86,14
100,91,9
100,91,9
100,89,11
100,88,12
100,89,11
100,87,13
100,88,12
100,87,13
100,93,7
100,88,12
100,88,12
100,84,16
100,82,18
100,85,15
100,91,9
100,86,14
100,88,12
100,85,15
100,86,14
100,88,12
100,89,11
100,82,18
100,87,13
100,86,14
100,88,12
100,82,18
100,85,15
100,89,11
100,87,13
100,84,16
100,91,9
100,81,19
100,79,21
100,91,9
100,84,16
100,90,10
100,91,9
100,87,13
100,84,16
100,89,11
100,84,16
100,85,15
100,88,12
100,85,15
100,82,18
100,92,8
100,88,12
100,82,18
100,89,11
100,92,8
100,89,11
100,91,9
100,93,7
100,94,6
100,91,9
100,96,4
100,92,8
100,88,12
100,91,9
100,95,5
100,97,3
100,94,6
100,90,10
100,92,8
100,92,8
100,92,8
100,92,8
100,93,7
100,97,3
100,93,7
100,98,2
100,91,9
100,92,8
100,92,8
100,93,7
100,98,2
100,95,5
100,95,5
100,91,9
100,91,9
100,95,5
100,91,9
100,92,8
100,97,3
100,93,7
100,90,10
100,89,11
100,91,9
100,96,4
100,92,8
100,89,11
100,92,8
100,92,8
100,91,9
100,95,5
100,91,9
100,94,6
100,93,7
100,91,9
100,99,1
100,97,3
100,97,3
100,96,4
100,98,2
100,97,3
100,95,5
100,95,5
100,97,3
100,95,5
100,98,2
100,100,0
100,96,4
100,98,2
100,99,1
100,98,2
100,94,6
100,97,3
100,98,2
100,95,5
100,97,3
100,97,3
100,95,5
100,96,4
100,97,3
100,94,6
100,93,7
100,96,4
100,96,4
100,95,5
100,96,4
100,96,4
100,95,5
100,98,2
100,96,4
100,95,5
100,94,6
100,95,5
100,94,6
100,90,10
100,99,1
100,92,8
100,99,1
100,98,2
100,93,7
100,99,1
100,98,2
100,98,2
100,97,3
100,97,3
100,97,3
100,96,4
100,98,2
100,98,2
100,97,3
100,98,2
100,98,2
100,98,2
100,95,5
100,99,1
100,100,0
100,99,1
100,97,3
100,99,1
100,99,1
100,99,1
100,96,4
100,97,3
100,96,4
100,99,1
100,100,0
100,98,2
100,98,2
100,98,2
100,99,1
100,99,1
100,98,2
100,97,3
100,95,5
100,97,3
100,98,2
100,96,4
100,100,0
100,100,0
100,98,2
100,97,3
100,99,1
100,97,3
100,100,0
100,99,1
100,97,3
100,98,2
100,98,2
100,100,0
100,94,6
100,95,5
100,98,2
100,99,1
100,97,3
100,98,2
100,98,2
100,100,0
100,99,1
100,100,0
100,99,1
100,99,1
100,98,2
100,99,1
100,100,0
100,99,1
100,100,0
100,99,1
100,99,1
100,100,0
100,100,0
100,98,2
100,98,2
100,99,1
100,99,1
100,98,2
100,100,0
100,100,0
100,99,1
100,99,1
100,99,1
100,97,3
100,99,1
100,98,2
100,98,2
100,97,3
100,99,1
100,98,2
100,100,0
100,98,2
100,99,1
100,98,2
100,99,1
100,98,2
100,100,0
100,99,1
100,98,2
100,99,1
100,99,1
100,98,2
100,98,2
100,99,1
100,97,3
100,98,2
100,100,0
100,99,1
200,36,164
200,27,173
200,30,170
200,29,171
200,27,173
200,34,166
200,40,160
200,36,164
200,30,170
200,29,171
200,28,172
200,29,171
200,40,160
200,37,163
200,35,165
200,30,170
200,40,160
200,31,169
200,39,161
200,32,168
200,34,166
200,42,158
200,35,165
200,38,162
200,36,164
200,32,168
200,39,161
200,35,165
200,31,169
200,40,160
200,28,172
200,30,170
200,33,167
200,36,164
200,42,158
200,35,165
200,33,167
200,31,169
200,32,168
200,28,172
200,36,164
200,37,163
200,33,167
200,32,168
200,33,167
200,40,160
200,33,167
200,36,164
200,22,178
200,34,166
200,66,134
200,56,144
200,61,139
200,63,137
200,50,150
200,65,135
200,66,134
200,57,143
200,48,152
200,57,143
200,54,146
200,59,141
200,65,135
200,65,135
200,57,143
200,59,141
200,61,139
200,62,138
200,60,140
200,60,140
200,54,146
200,53,147
200,53,147
200,59,141
200,60,140
200,66,134
200,58,142
200,68,132
200,53,147
200,56,144
200,71,129
200,50,150
200,56,144
200,53,147
200,61,139
200,57,143
200,57,143
200,55,145
200,60,140
200,54,146
200,59,141
200,61,139
200,45,155
200,53,147
200,56,144
200,50,150
200,64,136
200,57,143
200,56,144
200,70,130
200,87,113
200,86,114
200,90,110
200,96,104
200,102,98
200,102,98
200,85,115
200,93,107
200,78,122
200,93,107
200,93,107
200,84,116
200,89,111
200,81,119
200,81,119
200,92,108
200,86,114
200,95,105
200,87,113
200,92,108
200,87,113
200,90,110
200,77,123
200,87,113
200,99,101
200,99,101
200,87,113
200,92,108
200,93,107
200,89,111
200,87,113
200,89,111
200,88,112
200,84,116
200,83,117
200,87,113
200,95,105
200,90,110
200,90,110
200,80,120
200,101,99
200,85,115
200,93,107
200,80,120
200,91,109
200,88,112
200,95,105
200,91,109
200,92,108
200,88,112
200,118,82
200,126,74
200,128,72
200,125,75
200,118,82
200,134,66
200,120,80
200,128,72
200,108,92
200,129,71
200,123,77
200,139,61
200,119,81
200,117,83
200,124,76
200,120,80
200,122,78
200,122,78
200,112,88
200,117,83
200,107,93
200,128,72
200,127,73
200,136,64
200,131,69
200,127,73
200,122,78
200,121,79
200,119,81
200,131,69
200,120,80
200,112,88
200,121,79
200,116,84
200,119,81
200,127,73
200,131,69
200,129,71
200,120,80
200,126,74
200,122,78
200,121,79
200,134,66
200,131,69
200,129,71
200,126,74
200,134,66
200,128,72
200,115,85
200,112,88
200,153,47
200,160,40
200,156,44
200,157,43
200,160,40
200,143,57
200,149,51
200,158,42
200,143,57
200,158,42
200,154,46
200,159,41
200,147,53
200,148,52
200,148,52
200,149,51
200,156,44
200,142,58
200,153,47
200,151,49
200,153,47
200,158,42
200,156,44
200,150,50
200,162,38
200,151,49
200,146,54
200,156,44
200,149,51
200,155,45
200,146,54
200,149,51
200,154,46
200,167,33
200,157,43
200,143,57
200,148,52
200,152,48
200,153,47
200,153,47
200,160,40
200,152,48
200,142,58
200,157,43
200,139,61
200,153,47
200,159,41
200,148,52
200,150,50
200,152,48
200,180,20
200,173,27
200,172,28
200,180,20
200,172,28
200,177,23
200,170,30
200,181,19
200,170,30
200,170,30
200,172,28
200,172,28
200,175,25
200,166,34
200,177,23
200,169,31
200,172,28
200,173,27
200,170,30
200,169,31
200,166,34
200,172,28
200,166,34
200,170,30
200,171,29
200,166,34
200,171,29
200,176,24
200,162,38
200,182,18
200,176,24
200,175,25
200,177,23
200,171,29
200,168,32
200,176,24
200,176,24
200,175,25
200,170,30
200,177,23
200,177,23
200,176,24
200,179,21
200,174,26
200,174,26
200,163,37
200,172,28
200,173,27
200,173,27
200,178,22
200,182,18
200,191,9
200,183,17
200,185,15
200,170,30
200,186,14
200,182,18
200,188,12
200,188,12
200,186,14
200,181,19
200,190,10
200,187,13
200,189,11
200,187,13
200,177,23
200,188,12
200,184,16
200,191,9
200,188,12
200,185,15
200,185,15
200,189,11
200,179,21
200,187,13
200,187,13
200,184,16
200,185,15
200,185,15
200,184,16
200,187,13
200,188,12
200,190,10
200,189,11
200,180,20
200,185,15
200,184,16
200,184,16
200,188,12
200,180,20
200,183,17
200,187,13
200,187,13
200,193,7
200,181,19
200,186,14
200,189,11
200,185,15
200,178,22
200,187,13
200,191,9
200,194,6
200,195,5
200,195,5
200,193,7
200,192,8
200,190,10
200,189,11
200,194,6
200,187,13
200,194,6
200,195,5
200,194,6
200,193,7
200,189,11
200,196,4
200,192,8
200,190,10
200,187,13
200,196,4
200,196,4
200,195,5
200,192,8
200,190,10
200,192,8
200,194,6
200,195,5
200,184,16
200,188,12
200,194,6
200,197,3
200,197,3
200,189,11
200,190,10
200,189,11
200,195,5
200,192,8
200,196,4
200,194,6
200,190,10
200,195,5
200,188,12
200,189,11
200,189,11
200,194,6
200,195,5
200,187,13
200,194,6
200,191,9
200,195,5
200,196,4
200,189,11
200,195,5
200,197,3
200,193,7
200,199,1
200,197,3
200,197,3
200,197,3
200,196,4
200,198,2
200,195,5
200,196,4
200,195,5
200,195,5
200,194,6
200,195,5
200,195,5
200,197,3
200,197,3
200,193,7
200,195,5
200,194,6
200,196,4
200,193,7
200,195,5
200,198,2
200,195,5
200,198,2
200,197,3
200,196,4
200,193,7
200,194,6
200,198,2
200,200,0
200,192,8
200,197,3
200,198,2
200,196,4
200,197,3
200,196,4
200,195,5
200,196,4
200,197,3
200,196,4
200,195,5
200,195,5
200,195,5
200,193,7
200,198,2
200,199,1
200,197,3
200,199,1
200,199,1
200,200,0
200,196,4
200,199,1
200,198,2
200,200,0
200,197,3
200,199,1
200,198,2
200,199,1
200,199,1
200,200,0
200,199,1
200,199,1
200,199,1
200,199,1
200,197,3
200,200,0
200,198,2
200,200,0
200,198,2
200,199,1
200,198,2
200,198,2
200,198,2
200,200,0
200,197,3
200,198,2
200,198,2
200,199,1
200,195,5
200,199,1
200,197,3
200,198,2
200,195,5
200,199,1
200,197,3
200,198,2
200,195,5
200,200,0
200,198,2
200,200,0
200,197,3
200,199,1
200,198,2
200,199,1
200,197,3
400,66,334
400,72,328
400,73,327
400,65,335
400,67,333
400,60,340
400,76,324
400,70,330
400,68,332
400,60,340
400,64,336
400,65,335
400,57,343
400,64,336
400,65,335
400,62,338
400,68,332
400,71,329
400,72,328
400,65,335
400,70,330
400,65,335
400,68,332
400,71,329
400,71,329
400,76,324
400,75,325
400,62,338
400,63,337
400,65,335
400,64,336
400,59,341
400,72,328
400,65,335
400,59,341
400,61,339
400,71,329
400,72,328
400,59,341
400,62,338
400,75,325
400,76,324
400,66,334
400,68,332
400,73,327
400,68,332
400,65,335
400,80,320
400,73,327
400,64,336
400,121,279
400,110,290
400,129,271
400,122,278
400,111,289
400,105,295
400,116,284
400,107,293
400,123,277
400,104,296
400,109,291
400,112,288
400,110,290
400,117,283
400,109,291
400,117,283
400,115,285
400,110,290
400,107,293
400,113,287
400,107,293
400,113,287
400,116,284
400,113,287
400,120,280
400,110,290
400,121,279
400,110,290
400,103,297
400,112,288
400,125,275
400,107,293
400,116,284
400,115,285
400,109,291
400,94,306
400,124,276
400,122,278
400,118,282
400,122,278
400,108,292
400,110,290
400,131,269
400,124,276
400,119,281
400,118,282
400,114,286
400,116,284
400,118,282
400,106,294
400,185,215
400,186,214
400,177,223
400,178,222
400,170,230
400,177,223
400,177,223
400,176,224
400,150,250
400,182,218
400,194,206
400,191,209
400,181,219
400,170,230
400,167,233
400,197,203
400,164,236
400,180,220
400,183,217
400,163,237
400,188,212
400,190,210
400,170,230
400,171,229
400,169,231
400,177,223
400,182,218
400,182,218
400,178,222
400,187,213
400,181,219
400,187,213
400,187,213
400,166,234
400,187,213
400,174,226
400,175,225
400,182,218
400,169,231
400,170,230
400,172,228
400,176,224
400,187,213
400,182,218
400,181,219
400,157,243
400,174,226
400,186,214
400,181,219
400,185,215
400,248,152
400,250,150
400,245,155
400,242,158
400,252,148
400,247,153
400,249,151
400,261,139
400,251,149
400,241,159
400,251,149
400,238,162
400,249,151
400,227,173
400,235,165
400,250,150
400,249,151
400,246,154
400,237,163
400,254,146
400,248,152
400,241,159
400,245,155
400,243,157
400,235,165
400,222,178
400,230,170
400,233,167
400,251,149
400,247,153
400,254,146
400,254,146
400,250,150
400,231,169
400,266,134
400,250,150
400,241,159
400,248,152
400,227,173
400,240,160
400,238,162
400,252,148
400,244,156
400,249,151
400,254,146
400,238,162
400,240,160
400,241,159
400,248,152
400,243,157
400,304,96
400,309,91
400,310,90
400,306,94
400,302,98
400,309,91
400,316,84
400,308,92
400,307,93
400,304,96
400,289,111
400,315,85
400,304,96
400,312,88
400,304,96
400,300,100
400,309,91
400,317,83
400,303,97
400,320,80
400,304,96
400,313,87
400,315,85
400,303,97
400,308,92
400,309,91
400,300,100
400,296,104
400,298,102
400,308,92
400,303,97
400,301,99
400,301,99
400,301,99
400,308,92
400,305,95
400,300,100
400,303,97
400,296,104
400,306,94
400,297,103
400,290,110
400,294,106
400,310,90
400,317,83
400,313,87
400,304,96
400,293,107
400,304,96
400,311,89
400,345,55
400,349,51
400,355,45
400,344,56
400,340,60
400,355,45
400,340,60
400,340,60
400,341,59
400,350,50
400,359,41
400,349,51
400,346,54
400,341,59
400,337,63
400,345,55
400,336,64
400,348,52
400,346,54
400,359,41
400,349,51
400,361,39
400,346,54
400,339,61
400,335,65
400,338,62
400,349,51
400,350,50
400,342,58
400,340,60
400,344,56
400,353,47
400,341,59
400,344,56
400,342,58
400,347,53
400,336,64
400,342,58
400,346,54
400,336,64
400,350,50
400,352,48
400,341,59
400,343,57
400,355,45
400,356,44
400,338,62
400,341,59
400,345,55
400,349,51
400,373,27
400,371,29
400,375,25
400,371,29
400,370,30
400,362,38
400,367,33
400,379,21
400,364,36
400,374,26
400,372,28
400,372,28
400,375,25
400,366,34
400,371,29
400,371,29
400,372,28
400,374,26
400,355,45
400,365,35
400,381,19
400,364,36
400,370,30
400,378,22
400,357,43
